,分数,影评
2540,较差,"这篇影评可能有剧透

                        👉假如十年后，你碰到你的前任你会说什么？ 我曾经无数的场景中的幻想碰到前任，因为我比之前更加优秀，因为我想让你遗憾，因为我想证明你错过了我。纵使现在的种种情况表明我们必然没有结果，我是该庆幸当初你选择的放手吗？ ✍️ 电影后来的我们，林见清和方小晓，他们...

                         (展开)"
2541,还行,"这篇影评可能有剧透

                        《后来的我们》 我认为构成一部电影最重要的一点是，它得是一个故事，一个完整的故事，而不是全篇用鸡汤堆砌起来的ppt。 可能很久没有国产爱情片给我一种认真看电影的感觉了，我觉得挺好。今天看了一个故事，一对情侣之间的故事，一个在认认真真讲故事的故事。 看完电影出来，...

                         (展开)"
2542,推荐,"这篇影评可能有剧透

                        估计看完这部片子的人有百分之九十都会有这样的疑问，ta们为什么会分手，可能有人会说是小晓的作、矫情，也有人会说是见青不懂小晓，他因为爱而迷失了自己。在我看来，见青爱小晓这是毋庸置疑的，而且是非常非常爱，特别是影片中他抱着她说想要跟她生孩子的那一段就能看出他强...

                         (展开)"
2543,还行,"看之前写的，关于爱情的电影(比如火爆的《前任》我没敢看)到了最后，它无论好或不好，总能touch到某些人的点，这些大部分人因为这片影射到了回不去的从前，想到自己而落泪了，电影的目的就达到了吧。以后回忆起，想起来的不是电影，是自己 爱情片可能是最大众的了，因为每人都...

                         (展开)"
2544,力荐,"这篇影评可能有剧透

                        28岁的男孩，理想中恋人的模样是什么样的呢？特别、好看、等。 28岁以上的男人，理想中恋人的模样又是什么样的呢？有脸蛋，有身材，有内涵，有脑子，等等。 而二十岁左右的少年，这些男孩喜欢一个女孩时更加纯粹，最重要的就是有感觉。 是年纪的增长，让我们变得不再纯粹吗？其...

                         (展开)"
2545,还行,"这篇影评可能有剧透

                        五一档第一天，凭感觉选了《幕后玩家》，看了一半就猜出来了，好多设置，太不合理，所以不算成功的悬疑片。 有点儿怀疑昨天选错了电影，今天立马看了《后来的我们》…… 观后感…… 主演的表演都还好。田导稳定，周冬雨一如既往，井柏然让大家看到了他的发挥。 这个故事，好像...

                         (展开)"
2546,还行,"不喜欢见清的人设，缺陷有点大，前期喜欢小晓不敢表白，在一起以后也从来没有理解过女朋友，不管是没有成功时的聚会逞强，还是成功后的倨傲，都是把别人对幸福的认知建立在了自己的价值观上，感觉太渣。还蛮喜欢周冬雨演的女主，她简直太适合古灵精怪又很有思想的女性角色了。...

                         (展开)"
2547,力荐,"故事一级棒，我是男的看到后来我也哭了 女主周东雨的演技真的愈来愈炉火纯青， 从以前看她演的电视剧[麻雀]面无表情到现在演戏入目三分，才发现她真的有了很大的進步 另外男主井柏然演技也不错，完美地演绎出血气方刚的男孩变成成熟男人的过程 故事的敍事方式也很有趣，每一年...

                         (展开)"
2548,还行,"青春，北漂，异乡这些伤感类话题总是勾起我们的回忆，让我们感叹懊悔痛哭流涕。 在我的印象里，从较早的那些年我们一起追过的女孩，同桌的你，到匆匆那年，前任三，再到今天这部的后来的我们。无外乎都是相爱再到错过的结局。这种情怀到现在，真的不要再消费了，在玩梗都要坏了...

                         (展开)"
2549,还行,"看前：后来的我们什么都有了，却没了我们…是啊，曾经开玩笑你去找高富帅，我去找白富美；后来我们都没找高富帅和白富美；我有了当时想要的复式房子，有了一辆豪华品牌汽车；却没有了我们。 看后：电影剧情感不强，但是会让人明白很多。离开时你可以不负此人，但不见得不负此生...

                         (展开)"
2550,推荐,"怎么说呢很写实吧  面包和爱情  二选一  所谓爱情也不外乎 经济  如果没有如果  其实很悲哀可笑  你爱过我吗？  i miss you 如果是带着故事去看这部电影  会哭成泪人 真的 能体会其中的不多 却又感同身受 林见清啊   有林见清这样的人存在的话  你要还是不要  后来的后来 无外...

                         (展开)"
2551,很差,"这篇影评可能有剧透

                        刚开始我以为这是一部青春爱情片，却发现这是一部北漂电影。当我开始把它当作追逐梦想的北漂奋斗史的时候，却被突如其来的爱情搞得晕头转向。我觉得是我个人没办法欣赏吧，对于那些闪来闪去的剧情有些不知所措。 谁能告诉我，男女主角一共分手几次？ 第一☝️次是发生关系...

                         (展开)"
2552,力荐,"小晓问见清“你爱过我吗？”见清反问“那你爱过我吗？”小晓回答说“我一直都爱你。” 看完电影和朋友谈到这一段，我问她，为什么见清不直接回答小晓，为什么到后来也没说自己到底爱不爱小晓。她反问我，那你觉得他爱她吗？我想了一下，说肯定是爱的，只不过方式出了问题。 如...

                         (展开)"
2553,力荐,"感情戏在他们租车回北京的时候两个人回忆以前的时候周冬雨哭的委屈直接戳到但是没哭，只是眼睛酸，但后面见清爸爸的遗照刚出来那一秒我眼睛就直接掉了，而且还是严重的掉，撕纸半天没撕开让室友帮忙撕开的手上脸上已经都是泪了，后面更是哭的说不出话，当天看完之后又看了一遍...

                         (展开)"
2554,推荐,"en台词已经把这个影片全解析完了，比起文艺片，它确实更像商业片，因为它太直白了。直白到奶茶就怕你看不懂。 说它卖情怀，确实，里面的金句只顾着给你讲道理，却没有用过硬的故事和情节好好地给你讲道理。但是O_o 说句实在的，它的道理还是有那么一丢丢伤感。符合年轻文青的审...

                         (展开)"
2555,还行,"更多的是被歌感动吧，一直喜欢奶茶的歌，后来，一辈子的孤单，原来你也在这里，很爱很爱你.... 说实话故事狠普通的，个人觉得最感动的是见清带着老婆回家，林父在车站接他们，拉着见清老婆的手叫小晓的时候... 大家都以为能一辈子的人，不知不觉，后来走着走着散了…… 林父写...

                         (展开)"
2556,还行,"纯粹个人观点不喜勿喷，片子整体来说只能拥有及格的分数，剧情讲真的说有点俗套也不过分，剪辑方面以回忆录的方式纂述影片有一些散乱，情感个人认为男主父亲包含了所有泪点，特别是那封信占了99%，说直白点有些强行抒情，相遇方式简单粗暴，分手倒是分得不明不白，主人翁的爱情...

                         (展开)"
2557,推荐,"自打去年情人节看过LA LA LAND后，感触很多也学到很多，一直都想好好写一写。然而可分析的技术细节太多，故事又太好，不知如何下手。看了《后来的我们》，发现二者有很多相似之处，便先写一写这部作品整理下一直以来的思路。 先从电影的角度评价下这部作品。 总体讲，影片不错...

                         (展开)"
2558,力荐,"后来的我们        谙悉情理 ，明朗后来，情非得已。 '逻辑思维精密。 全剧以思维的跳跃，感触人心。 摒弃以往青春爱情片套路模式，跳出由始到终的框框，在最需要情感爆发的时刻，猛然出现，成熟与单纯并存，只为讲明，我们穷极一生，为了曾经的单纯，却不复来。 '人物伤了世俗...

                         (展开)"
2559,还行,"劉若英老師於我的印象 幾乎就定格在一則MV中的畫面 她背著把吉他 筆挺前行 不拘小節的形象做派能讓人放鬆 對於我這種習慣性緊張的人而言 尤為難得。張艾嘉導演的【心動】褪去偶像的光環 最讓人留心的應該還是女二莫文蔚 幾近於【冷山】中輕鬆搶戲的芮妮齊薇格。【後來的我們】...

                         (展开)"
2560,推荐,"电影拍摄的情怀是在的，试图借由电影疗愈“后来”的我们。 影片里的细节让那些懂得的女性观众泣不成声，但整部片战鼓咚咚的是男性观众自我的不断反问，“如果……会怎么样？” 还没问明白，但日子就这么过来了，李剑青的“匆匆”也埋伏在地下道里，不经意的一击， 其实“你还有...

                         (展开)"
2561,还行,"昨天一整天，打开订阅号，体娱类多数头条都在极力吹捧，但见豆瓣评分不算高大概也就猜到了原因。 演员是好演员，情怀也值满分，但矫情得像作文般的台词频频让人出戏，不由得让人怀疑现实生活里真有情侣这么对话吗？ 不远千里奔赴北京，只为一场看不到明天的梦。这样的选择，并...

                         (展开)"
2562,推荐,"（简单叙述，不往深了写） 我看的时候电影院人不多，就十几个吧，旁边坐的小姐姐几次没忍住喷笑，后边一个大哥点评了好几次，但看完后没有一个人说话，特别安静，停了几分钟大家才离开… 看到他爸的信那块，快要看哭，但争气的忍住了，没有故事可以联想，也不做对比，只是单纯...

                         (展开)"
2563,还行,"《后来的我们》当回忆青春成为一种流行。印象里从2013年《致我们终将逝去的青春》开始，大把以回忆青春，祭奠爱情为主题的影片被搬上大银幕。无疑在这些参差不齐的作品中，奶茶的这部处女作算是真的走心了。这片最大的成功是选对了演员，周冬雨独特的风格再一次和角色完美匹配...

                         (展开)"
2564,力荐,"这篇影评可能有剧透

                        看完《后来的我们》就想写一写观后感，出来的时候朋友都说看完开头还以为最后 小晓和见清会在一起，当时我在想电影里的一句台词， “幸福不是故事，不幸才是”，如果小晓和见清最后在一起了呢就不是故事而是幸福了，就像小晓在荧幕里说：“可惜没有如果”，他们也没能在一起。...

                         (展开)"
2565,推荐,"这篇影评可能有剧透

                        上映前，我告诉自己，如果让我装着傻，为粉丝经济的营销和打情怀牌的滥觞买一次单，那么看在“刘若英”三个字，我认了。只要她能在作品中带给我一点点的惊喜，我就觉得不亏。 公映首日是个工作日，我那一场上座率不高，20个人左右，清一色80、90后，受众群体十分明确。 电影进...

                         (展开)"
2566,推荐,"虽然还没有遇到过爱情，看这部电影也主要是因为刘若英的“后来”所以有了期待，影片主要讲北漂的恋人恋爱的过程，最后没在一起，却成为彼此最难忘的，给我印象最深的是见清设计的游戏，伊恩和凯莉的故事，或许就是他们自己的故事，小晓问见清，如果凯莉离开伊恩了，他们没在一...

                         (展开)"
2567,很差,"《战狼2》已经将中国电影制作提升到世界顶级水平门槛，争议却集中在中国电影“核心科技”还是用了美国技术。以及，中国才开始冒出的个人英雄主义电影，与潜移默化认同美国个人英雄主义电影，意识形态之争。 《红海行动》直接将中国电影制作提升到世界顶级水平分庭抗礼的程度。...

                         (展开)"
2568,推荐,"这篇影评可能有剧透

                        开始的开始，他大学刚毕业没多久，在中关村电脑城上班，她做各种工作，居无定所。 他们各自孤单着。即便她谈过恋爱，但也许会一辈子都那么孤单吧。 当孤单已经变成一种习惯 习惯到我已经不再去想怎么办 ——《一辈子的孤单》 一个人大包小包，坐绿皮车，回家过年。 查票的时候...

                         (展开)"
2569,还行,"这篇影评可能有剧透

                        完全靠演员撑起来的一部电影，剧情发展又快又牵强几乎没有逻辑可言啊。 两个人第一次遇见，火车上见一眼就喜欢上了，而且那么冷的天那么远的路，说下火车走就走了？简直是在侮辱我的智商，你有这能耐干脆自己走路从北京回家好不好🌚 后来去北京，周冬雨明明知道井柏然喜欢自...

                         (展开)"
2570,力荐,"🎬 影片的开始，是在回家过年的绿皮火车上，那是见清第一次遇见小晓，他们有一个共同梦想，想在北京闯出一番天地，我想，见清在遇见小晓的第一天就喜欢上了她，他眼中的她是那么的无惧和洒脱，见清对小晓一见钟情了。 电影里场景很真实，北漂生活细节很考究，在那不到10平米,...

                         (展开)"
2571,还行,"这篇影评可能有剧透

                        井柏然演技有所突破，越来越像硬汉纸了😄，周冬雨的性格绽放，这是值得肯定的，电影里面的生活大背景是两个乡下来的孩子在北京打拼，很残酷，很真实，可是实在无法理解已婚又有孩子还思念前任的情怀，是冲着五月天的歌来的，不过好像当时电影里没有放?是我没注意吗，所以电影...

                         (展开)"
2572,推荐,"宝岛才女奶茶刘若英导演处女作就挑战难度很大，观众分歧很大的“青春片”题材，但是结果了很成功，给之前的国产青春电影上了一堂生动的课程。 影片用两条时间线描述，并不断闪回交替。 为了让观众看起来不那么吃力，奶茶用彩色和黑白来标记两条时间线： 黑白电影代表的是现实，...

                         (展开)"
2573,力荐,"这篇影评可能有剧透

                        这是我个人的一点片面之词 希望看到的朋友不要介意 表示作为00后没有经历人生的沧桑 但是我却收获到了别样的人生指引 人生太短暂 生命太脆弱 惟有轰轰烈烈的活过爱过才是最值得的 之后的我们什么都有了 却没有了我们 一眼就望见未来vs一眼望不到头的生活 残酷的现实vs美好的理...

                         (展开)"
2574,推荐,"01 “后来的我们依然走着，只是不再并肩了，朝各自的人生追寻了。” 想到了陈可辛的《如果爱》，同样的故事套路，同样的人物设定。 同样的主动的女主角，周迅的孙纳，周冬雨的方小晓。 她们主动追求梦想，主动接受交易，主动实现利益最大化。 她们主动献身男主角，主动亲吻他们...

                         (展开)"
2575,还行,"这篇影评可能有剧透

                        故事差不多就是后来那首歌里唱的那样：后来我总算学会了如何去爱，可惜你早已远去消失在人海。后来终于在眼泪中明白，有些人一旦错过就不在……看完不是很开心，因为是个充满遗憾的故事。前面剧情有点散，转折得很奇怪，但周冬雨的台词还挺搞笑的，亲情的部分也很感人。不过男...

                         (展开)"
2576,力荐,"北漂的生活当然艰苦 其中滋味不是异乡人自然也无法体会 生活不是只有鲜花和甜蜜 北京的生活更不是只有夜晚的三里屯和簋街的小龙虾 反而说 柴米油盐酱醋茶的日子 北京“首都”的压力 时时刻刻就像个小炸弹一样 不知道什么时候会爆发。 无论是《前任三》还是《后来的我们》这些电...

                         (展开)"
2577,较差,"这篇影评可能有剧透

                        女主开头换了这么多男朋友，难道不是为了车？为了房吗？为什么最后却反问难道我和你谈恋爱只为了房？？？ 为什么非要等女主离开后男主才奋发图强？？？ 为什么和女主在一起的时候？男主只知道打游戏？？？ 为什么男主后来有孩子有老婆，还要跟女主在酒店里回忆当年那些事？？？...

                         (展开)"
2578,还行,"这篇影评可能有剧透

                        去看了下《后来的我们》，说实话还真是看哭了，但是吧，这个哭就跟小时候学校组织去看的催泪电影一样，因为它纯粹是个以煽情为目的的电影，不哭不由人，太煽情了。最有共鸣的还是亲情部分，最真实的还是创业的艰辛和生活的艰难。插曲还是很好听的。男主爸爸的信写得感动，特别...

                         (展开)"
2579,还行,"因为情怀而去看的电影 并没有抱有太大的期望的话 整个还可以 毕竟奶茶第一次拍电影 有欠缺的地方 情节呢对个人而言没有那么多的共鸣 北漂的生活 两个人的梦想 一起努力过的过程回忆起来总是美好的 但就像歌里唱的那样后来 我总算学会了如何去爱 可惜你 早已远去 有些人应该注定...

                         (展开)"
2580,力荐,"写给《后来的我们》 喜欢奶茶十年了，奶茶还是我心里知性的文艺女神。岁月流逝，2007到2018，奶茶由单身贵族升级气质妈妈,我也由懵懂少年成为经历沧海的中年boy。而这恰恰就像影片里的那十年。 影片中的见清恰似当年的自己，不懂地如何去爱，一直想成为爱人所希望的样子。也因...

                         (展开)"
2581,较差,"一开始就不看好这个片，但看毒sir都为它打call就看了。果真是部不值得在影院看的电影。我真的一点get不到泪点。。对北漂生活的描述也在很多影视作品里司空见惯。全场只是同情见清老婆。老公念念不忘前女友还和她一起喝酒聊天怀念过去，牵手飞奔回酒店差点就发生点什么。。周冬...

                         (展开)"
2582,推荐,"五月天、奶茶、周冬雨、井柏然…看了预告听着主题曲，这些都促使我对这部电影抱有很大的期待。可能期待过高，看了之后略失望。“从前的我们”和“现在的我们”画面交织，彩色的过去与灰色的现在，或许就是片中男主说的，离开你我的整个世界都是灰色的。剧情有点冗长，2小时的片...

                         (展开)"
2583,较差,"本是想安安静静坐在电影院跟着电影回忆一下过去的自己，但遗憾的是电影并未将我带入进去。1.每个环节缺少逻辑的衔接，让人看得云里雾里的。2.台词相当生硬，主角们尴尬的表演，感觉台词是从嘴里念出来的，而不是自然流露出来的；3. 田壮壮老师的表演的确充满真情，但是强加的亲...

                         (展开)"
2584,推荐,"有很多堆砌，有一点做作，尤其那一段“你爱过我吗”，多么矫揉造作的情节，煽动情绪失败。还有啊，北京并不代表更广的天空和更大的梦想吧，喊话北京有点赘哎。 可是怎么说呢，看的不是电影，是回忆，是心结。没有北漂的经历，没有和你共苦，但依然看到了我们的过去、现在和将来...

                         (展开)"
2585,很差,"《后来的我们》好看吗？一个已婚男人怀念初恋的故事感动的一帮人不得了，就像刘若英想当小三不成，各种上节目各种谈多暗恋陈升，暗恋的全世界都知道，还莫名其妙感动了一群人，刘的粉丝给陈升老婆发消息让她识相点赶紧离婚，刘若英和陈升才是真爱一样的恶心。 更不用说这电影恶...

                         (展开)"
2586,较差,"这篇影评可能有剧透

                        五一最火的剧，是奶茶的《后来的我们》了吧。 从3月开始，陆陆续续一波又一波的消息轰炸，不火也难了。我看见很多公众号，很多行业网站、以及朋友圈都在议论这部电影。 对电影特别挑剔的我，也蠢蠢欲动了。 其实，刚刚开始注意这部电影的时候，是从Hebe那首歌开始的，但是我听...

                         (展开)"
2587,较差,"周冬雨的小妞式演技在线，不过没多大突破，无可厚非她确实适合这样的角色！ 井柏然的文艺范某种程度也限制了他的戏路，像捉妖记我的关注点永远不在他身上，因为一看他就出戏！青春片里的渣男角色还是有一点突破，给一星！ 老爸最后的信很写实，想到老了以后自己怕是也就这样看...

                         (展开)"
2588,推荐,"很早以前，就听说刘若英要启动电影处女作，作为一个前歌迷，充满了期待。心里有两个疑问，不知道奶茶会拍什么题材，会不会和音乐有一些关系。看了《后来的我们》，很满足，奶茶完全解答了我的疑问，一个笑中带泪，泪光中带着感恩的“北漂”故事，看得人心情七上八下，从头到尾...

                         (展开)"
2589,推荐,"从最初看到这个电影的预告片开始，心里就很有感触了。那种漂泊异乡的感情，那种深深的孤独感，真的能够感同身受。我跟男朋友都是北漂，这么些年了一直都特别努力的为了自己想要的生活在奋斗，我们两个之间已经不仅仅是靠着简单的喜欢、简单的爱而在一起了，还有那种同为异乡之...

                         (展开)"
2590,力荐,"这篇影评可能有剧透

                        中国文学从《诗经》起就有了抒写爱情的习惯，到现在为止，爱情依然是中国电影所热衷的话题，其中最赚人眼泪的莫过于“爱而不得”。就像《后来的我们》里所讲，“幸福不是故事，不幸才是”。 故事始于林见清（井柏然饰）与方小晓（周冬雨饰）十多年后在飞机上重逢，两人相视一笑...

                         (展开)"
2591,很差,"这篇影评可能有剧透

                        刘若英是个才女，她在用自己的方式；讲述爱情与命运。 如果，回头年轻的我们，确实有点不堪一击。为了一块面包舍弃爱情，丢掉爱了。如今，女拜金，男攀贵。 刘若英给大家一个醒，影片呈现的是最初的爱情，梦想不是现实，摇篮里没有恋爱。电影里的故事需要用单一的根本理解。 爱...

                         (展开)"
2592,推荐,"这篇影评可能有剧透

                        终于去看了《后来的我们》，感触蛮多的。 电影是根据刘若英以前写过的一篇文章《回家过年》改编的。 井柏然饰演男主，林见清。周冬雨饰演女主，方小晓。田壮壮饰演见清的父亲。 看电影前，我以为这是一部怀念前任的片子，脑子里始终回荡着那句歌词： “后来，我总算学会了如何...

                         (展开)"
2593,力荐,"感觉剧中的每一句台词都能戳中泪点。 最后，方小晓说，这次好好的说个再见吧！方:林见清，再见！林:方小晓再见！ 这就是对爱着你的那个他最大的尊重。 他们从无话不谈、默契的朋友到恋人，最后却没能在一起。很遗憾。 想分享一下自己的故事。我和我男朋友也已经在一起七年啦，...

                         (展开)"
2594,推荐,"大约可以给4星半把，评价两极分化。这不奇怪。作为导演编剧等来说，这故事可能讲的并不算好，有些还会比较刻意用力，略显尴尬。但是这部戏正如后来一样，其实是给自己看的。所谓的共鸣，是你有没有过如剧情般的那种曾经。全剧泪点了好几次，片尾以及彩蛋群众举牌的时候已经抽抽...

                         (展开)"
2595,较差,"28号晚上应朋友邀去看，2千人场满员，看完我～也哭了一张纸，不是感动，是想起了爱情总会只剩余热而感到失望。电影分两个时空叙述，彩色的过去和黑白的现实，结尾的变色不知道后来有没有在一起，最好是没有，至少保全了道德。这里色彩的运用其实真的很无聊好嘛，有这心思不如好...

                         (展开)"
2596,力荐,"后来的我们 1 感觉很羡慕周冬雨演的人物性格。 做自己，勇敢追求自己想要的生活。 不尴尬。 大声的笑。 渴望爱情，就去追求爱情。 渴望成功，就去追求成功。 别人没办法带动你，去生活，去运动，去追梦，能带动你的，只有你自己。 勇敢的生活吧，只有你自己，没什么好顾忌的。 ...

                         (展开)"
2597,很差,"看见周冬雨，女主要塑造的形象就想出七八了，演技在线不过没多大突破，不过小井确实进步了，此处给一星。老爸最后的信很写实，想到老了以后自己怕是也就这样看待孩子们，这个点戳到我了，给一星。 剧情中庸，可能同一题材的电影太多，已经麻木。写写小说散文什么的就差强人意了...

                         (展开)"
2598,较差,"这篇影评可能有剧透

                        剧情是标准的北漂爱情和生活，拥挤的地铁，拥挤的春运，拥挤的租房，都是拥挤的。然后男主和女主留在北京为了理想打拼，后来男主终于在北京买了房子，女主却说我和你在一起不是为了这个，你不懂我，就分手了。 阐述的方法是标准的张一白式:结局后男主女主的相遇，然后一起回忆...

                         (展开)"
2599,还行,"1.小晓很zuo，所以两个人没走到一起她主要原因2.见清的蓝精灵事件出现有渣男既视感。 没看哭。没那么感动。有些对白听有深意。但是女主没啥进步，一直以来都是那个样子，对人生没规划所以十来年还是这个样子。男主活的悲哀，为什么就将就了，既然爱为何不能一直坚持下去。既然...

                         (展开)"
2600,力荐,"应该是2017年的某一天，刷新闻，刷到了&lt;后来的我们&gt;第一支预告片，黑白色的调子，一群人赶火车，说春运有多少人口大迁徙，最让我意外的是，导演居然是刘若英。 刘若英，仔细回想了一下，是怎么知道这个名字的呢？记得那是高中的时候，流行的是卡带，每个班上英语课，会有...

                         (展开)"
2601,推荐,"这篇影评可能有剧透

                        电影上映前并没有期待，偶然间被朋友圈抛出来的鸡汤文章，被相似的经历或者结果所吸引，标题党的我忍不住想后来的我们怎么样呢，可想而知，观看中简直被形容梨花带雨，而雨一直下...不管旁人怎么看，已经陷落回忆中的人自顾不暇。是啊，记得看lalaland 的时候，我也是哭成泪人...

                         (展开)"
2602,推荐,"女生视角电影，男生看起来大概很费解很无聊。 虽然故事和台词是拼凑的，但有些台词还是挺有感触的，总的来说就像网易云音乐评论集合。 男主的人生规划：事业，体面，看似美满的家庭；口口声声说爱，却从来没有懂女生。合适的年龄就创业，喜欢就谈恋爱，是时候了就结婚。只有女...

                         (展开)"
2603,力荐,"有笑有泪，有共鸣！最后见清父亲写给小晓的信让人泪奔，只要能过上自己想要的生活，就不会遗憾。当后来的我们什么都有了，却没有了我们…… “幸福的不是故事，不幸的才是” “那我不想和你之间发生什么故事了” “我已经努力想要变成你想要的样子了” “但我已经不是我原来的...

                         (展开)"
2604,推荐,"看过刘若英的导演处女作《后来的我们》让我似乎找寻到了一些张艾嘉的细腻之感。的确在这个国产商业片泛滥的年代，还能有一丝的文艺情怀的影片还是很难得的，毕竟在这个文艺片叫好不叫座的时代真的是太不容易！ 抛开票房和影片的宣传，单看影片的内容，其实它算不上完全的商业片...

                         (展开)"
2605,还行,"两颗星给奶茶，毕竟唱了她这么多年的歌，还有一颗星给田壮壮老师读的最后一封信，这部电影更像是一部集结本片所有歌曲的MV，纯靠两个主角撑起了影片，真希望今年不再有任何关于前任的电影，你们的现任有什么错，需要每次陪你们刷一下祭奠前任的影片？感情的事No zuo No die ，...

                         (展开)"
2606,力荐,"后来的我们什么都有了，却没有了我们。 有多少人被这句话扎哭。 有多少人深爱前任，却最终和一个自己不爱的人结婚。 最后看到男主已经结婚的时候真的是心都碎了。 看这种电影真的就是看一种情怀。 之所以会哭，会喜欢是因为感同身受。 看到好多人说不好的，我真心想说你之所以...

                         (展开)"
2607,力荐,"这篇影评可能有剧透

                        《后来的我们》让我对周冬雨路转粉，满嘴东北话接地气，小小的人设可爱、可怜、可悲，雪天堵在车里的那段戏，挺虐心，很煽情。比同题材的《前任3》好看了500条大连地铁1号线的距离。[机智] 整部电影采用了倒叙和插叙的表现手法，彩色和黑白切换时空场景。一部好的影片和小说，...

                         (展开)"
2608,较差,"洗完澡回来，聊聊刚刚看的《后来的我们》吧！影片上演到50分钟的时候，我对朋友说“这部电影烂到我想走了”，朋友说“先把爆米花吃完再说吧”我点头“嗯嗯”心想幸好我还有桶爆米花。首先电影想讲男女主角一直想在北京扎根以及他们如何困难的扎根，说实话，除了他们破旧的房子...

                         (展开)"
2609,还行,"现在是大一下学期，还没有过为生存而流浪而嚎啕大哭的日子，也没有过这样的一个人和一场成长。 “只期待后来的你能快乐，那就是后来的我最想的，后来的我们依然走着，只是不再并肩了，朝各自的人生追寻了” 喜欢周冬雨的笑，的骂人，的大叫，她演出了一个我想成为的生动模样，...

                         (展开)"
2610,力荐,"这篇影评可能有剧透

                        《后来的我们》让我对周冬雨路转粉，满嘴东北话接地气，小小的人设可爱、可怜、可悲，雪天堵在车里的那段戏，挺虐心，很煽情。比同题材的《前任3》好看了500条大连地铁1号线的距离。😒 整部电影采用了倒叙和插叙的表现手法，彩色和黑白切换时空场景。一部好的影片和小说，最...

                         (展开)"
2611,还行,"优点: 田壮壮+周冬雨+井柏然的演出。 尤其是周冬雨，太自然，如果井还有点小问题（可能是角色…）。 李屏宾的摄影是真的好看。 色彩也很舒服温暖。 可以说各方面的幕后本身都是好的。 奶茶的细节把控还是不错的，比如一些演员的动作设计还是好的。 缺点: 1.清汤寡水的剧情。光...

                         (展开)"
2612,推荐,"这篇影评可能有剧透

                        小晓是背负生活琐碎的升级版安生，安生是饱含少女心的出世的小晓。小晓的世界里有太多的等而未得、求而不能，却依旧要做出一副毫不在意，将破碎粉饰在假意潇洒之后。她笑时眼中有泪，哭时也要以嘴角上扬收尾，你不知道她的内心是好是糟，一如你不知道她离开见清时是决绝还是不...

                         (展开)"
2613,推荐,"“正是江南好风景，落花时节又逢君。”2018年4月28日20时20分，凯里市凯瑞国际影城大厅门口。身穿一件骆豪黑色T恤，一条骆豪白色裤子及一双骆豪白色鞋子的高云骞遇见了九年前分手的女朋友林婉娜。两人对视了两分钟，然后微笑着说:好久不见。此时，离电影《后来的我们》播映还有...

                         (展开)"
2614,还行,"早上没课了突然起意一个人去电影院看的早场。 老实说拍出来的画面效果没的说。雪景，火车，小出租屋，地下通道。 但是影片内容实在无法让我产生共鸣，觉得矫情。影厅里偶尔会出现抽泣声，然鹅我的内心毫无波澜。或许是不曾有这样的经历，且现下正处于同他们所怀念的过去一样甜...

                         (展开)"
2615,还行,"电影讲述的故事基本上和我的年龄相仿，每个人都是毕业后摸爬滚打过来的，但我和我身边的朋友的失恋和错过的故事都比电影更伤感，电影剧情过于平淡，唯一的泪点就是爸爸那封信。。。一星送给两个演员，没有你们完全撑不起整部片，一星送给田馥甄《爱了很久的朋友》，陈奕迅《我...

                         (展开)"
2616,力荐,"这篇影评可能有剧透

                        《后来的我们》，在看这部电影之前，我觉得我可能会哭的停不下来，我准备了纸巾好大哭一场。然而事实是，我并没有哭得很惨。我的泪点全部集中在见清父亲的身上。我在见清父亲身上看到了自己的父母，不会用新的遥控器的是他们，一屉一屉黏豆包也是他们。见清的父亲给小晓写信的...

                         (展开)"
2617,推荐,"可以说第一次看首映电影，主要是刘若英，喜欢她的坚持，态度。看完后觉得还可以，但豆瓣评论不是很好，主要可能有几方面原因，1.这种题材的比较多，像前任3，恋爱也是一种学习和成长，但是否真的学会了？2.拍摄的内容，台词，剧情，过去和现在的穿插形式，可能故事片，文艺片的...

                         (展开)"
2618,力荐,"很多人说这部电影三观有问题，见清跟小晓确实有过冲动，可是最后成人的理性让他们退回到安全线以内，这世界爱而不得的人有很多，生活总归还要继续，所以他俩的三观有问题吗？我觉得明知道不可以还偏要放纵的这才是三观有问题吧。见清跟小晓他俩爱错了方式，导致最后只能遗憾错...

                         (展开)"
2619,力荐,"这篇影评可能有剧透

                        《后来的我们》充斥着具有质感的美好的画面光线，空洞狗血的剧情，让人不明所以情感转换，不搞笑的老梗，矫情文艺的对话，三观不正的爱情。“我喜欢你因为和别的女生不一样，会骂人喝酒打牌抽烟。？？？[em]e101[/em]”“女的想通过和男的谈恋爱过上好生活所以不停谈恋爱”，好...

                         (展开)"
2620,力荐,"这篇影评可能有剧透

                        [爱心]观影感受真的是很个人，很感性的事儿~如果你没有感觉，可能是这故事和你的人生经验没有共鸣，如果泪目可能和你的某些感受重叠。没有对与错！ 不是专业影评人，不懂电影好与坏！只觉得许多场景都触动到我~林父书信的内容~见清愈显沧桑的神情和眼泪~最喜欢的场景，图九片尾...

                         (展开)"
2621,推荐,"与前任最好的方式难道不是虽然在彼此心里，却都选择相忘于江湖吗？一个本该完美却结局悲伤的故事被来回回味，就像是表演抽一支午夜的烟，洒几滴触景生情的泪。过分挖掘泪点，刻意制造煽情，让人出戏。很难想象两个走散的人在一张床上怀念以前的日子，应该说是矫情还是狗血？？...

                         (展开)"
